0000;Cc;CONTROL NULL
0001;Cc;CONTROL START OF HEADING
0002;Cc;CONTROL START OF TEXT
0003;Cc;CONTROL END OF TEXT
0004;Cc;CONTROL END OF TRANSMISSION
0005;Cc;CONTROL ENQUIRY
0006;Cc;CONTROL ACKNOWLEDGE
0007;Cc;CONTROL BELL
0008;Cc;CONTROL BACKSPACE
0009;Cc;CONTROL CHARACTER TABULATION
000A;Cc;CONTROL LINE FEED (LF)
000B;Cc;CONTROL LINE TABULATION
000C;Cc;CONTROL FORM FEED (FF)
000D;Cc;CONTROL CARRIAGE RETURN (CR)
000E;Cc;CONTROL SHIFT OUT
000F;Cc;CONTROL SHIFT IN
0010;Cc;CONTROL DATA LINK ESCAPE
0011;Cc;CONTROL DEVICE CONTROL ONE
0012;Cc;CONTROL DEVICE CONTROL TWO
0013;Cc;CONTROL DEVICE CONTROL THREE
0014;Cc;CONTROL DEVICE CONTROL FOUR
0015;Cc;CONTROL NEGATIVE ACKNOWLEDGE
0016;Cc;CONTROL SYNCHRONOUS IDLE
0017;Cc;CONTROL END OF TRANSMISSION BLOCK
0018;Cc;CONTROL CANCEL
0019;Cc;CONTROL END OF MEDIUM
001A;Cc;CONTROL SUBSTITUTE
001B;Cc;CONTROL ESCAPE
001C;Cc;CONTROL INFORMATION SEPARATOR FOUR
001D;Cc;CONTROL INFORMATION SEPARATOR THREE
001E;Cc;CONTROL INFORMATION SEPARATOR TWO
001F;Cc;CONTROL INFORMATION SEPARATOR ONE
0020;Zs;SPACE
0021;Po;EXCLAMATION MARK
0022;Po;QUOTATION MARK
0023;Po;NUMBER SIGN
0024;Sc;DOLLAR SIGN
0025;Po;PERCENT SIGN
0026;Po;AMPERSAND
0027;Po;APOSTROPHE APOSTROPHE QUOTE
0028;Ps;LEFT PARENTHESIS OPENING
0029;Pe;RIGHT PARENTHESIS CLOSING
002A;Po;ASTERISK
002B;Sm;PLUS SIGN
002C;Po;COMMA
002D;Pd;HYPHEN-MINUS
002E;Po;FULL STOP PERIOD
002F;Po;SOLIDUS SLASH
0030;Nd;DIGIT ZERO
0031;Nd;DIGIT ONE
0032;Nd;DIGIT TWO
0033;Nd;DIGIT THREE
0034;Nd;DIGIT FOUR
0035;Nd;DIGIT FIVE
0036;Nd;DIGIT SIX
0037;Nd;DIGIT SEVEN
0038;Nd;DIGIT EIGHT
0039;Nd;DIGIT NINE
003A;Po;COLON
003B;Po;SEMICOLON
003C;Sm;LESS-THAN SIGN
003D;Sm;EQUALS SIGN
003E;Sm;GREATER-THAN SIGN
003F;Po;QUESTION MARK
0040;Po;COMMERCIAL AT
0041;Lu;LATIN CAPITAL LETTER A
0042;Lu;LATIN CAPITAL LETTER B
0043;Lu;LATIN CAPITAL LETTER C
0044;Lu;LATIN CAPITAL LETTER D
0045;Lu;LATIN CAPITAL LETTER E
0046;Lu;LATIN CAPITAL LETTER F
0047;Lu;LATIN CAPITAL LETTER G
0048;Lu;LATIN CAPITAL LETTER H
0049;Lu;LATIN CAPITAL LETTER I
004A;Lu;LATIN CAPITAL LETTER J
004B;Lu;LATIN CAPITAL LETTER K
004C;Lu;LATIN CAPITAL LETTER L
004D;Lu;LATIN CAPITAL LETTER M
004E;Lu;LATIN CAPITAL LETTER N
004F;Lu;LATIN CAPITAL LETTER O
0050;Lu;LATIN CAPITAL LETTER P
0051;Lu;LATIN CAPITAL LETTER Q
0052;Lu;LATIN CAPITAL LETTER R
0053;Lu;LATIN CAPITAL LETTER S
0054;Lu;LATIN CAPITAL LETTER T
0055;Lu;LATIN CAPITAL LETTER U
0056;Lu;LATIN CAPITAL LETTER V
0057;Lu;LATIN CAPITAL LETTER W
0058;Lu;LATIN CAPITAL LETTER X
0059;Lu;LATIN CAPITAL LETTER Y
